cond.thisRepN,cond.thisTrialN,cond.thisN,cond.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digit_rep.thisRepN,digit_rep.thisTrialN,digit_rep.thisN,digit_rep.thisIndex,thisRow.t,notes,sequence_started,sequence_ended,digit_sequence,result_box.text,confirm_input.keys,confirm_input.rt,confirm_input.duration,input_ended,participant,order,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,0,0,0,0,5.294486599974334,,20:16:29.958001,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,1,0,1,0,6.363992300000973,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,2,0,2,0,7.465160000021569,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,3,0,3,0,8.566158399975393,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,4,0,4,0,9.666836099990178,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,5,0,5,0,10.768170299998019,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,6,0,6,0,11.869628800021019,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,7,0,7,0,12.971206100017298,,,20:16:39.667195,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,0,0,0,0,,,,,,,,,"[4, 5, 3, 1, 0, 7, 9, 6]",45310796 ,space,16.219841599988285,None,20:16:56.002693,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,1,0,1,0,0,0,0,0,31.307440000004135,,20:16:56.002693,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,1,0,1,0,1,0,1,0,32.40795750002144,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,1,0,1,0,2,0,2,0,33.51068110001506,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
0,0,0,0,1,0,1,0,3,0,3,0,34.61162430001423,,,,,,,,,,605495,6,2024-06-23_20h15.30.218,digit_span,2024.1.4,None,2024-06-23 20h16.25.730001 +0200,
