cond.thisRepN,cond.thisTrialN,cond.thisN,cond.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digit_rep.thisRepN,digit_rep.thisTrialN,digit_rep.thisN,digit_rep.thisIndex,thisRow.t,notes,sequence_started,sequence_ended,digit_sequence,result_box.text,confirm_input.keys,confirm_input.rt,confirm_input.duration,input_ended,participant,order,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,1.7981963999918662,,19:52:35.169961,,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,0,0,0,0,1,0,1,0,2.807282200024929,,,,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,0,0,0,0,2,0,2,0,3.912546699983068,,,19:52:39.368223,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,0,0,0,0,,,,,,,,,"[2, 0, 8]",208,space,4.80988429998979,None,19:52:44.285439,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,1,0,1,0,0,0,0,0,10.821897900023032,,19:52:44.285439,,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,1,0,1,0,1,0,1,0,11.92559739999706,,,,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,1,0,1,0,2,0,2,0,13.016381699999329,,,19:52:48.486508,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,1,0,1,0,,,,,,,,,"[9, 5, 8]",958,space,1.0930124000296928,None,19:52:49.687287,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,2,0,2,0,0,0,0,0,16.217209700029343,,19:52:49.688285,,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
0,0,0,0,2,0,2,0,1,0,1,0,17.331517899991013,,,,,,,,,,P2,2,2024-06-28_19h52.16.260,digit_span,2023.2.3,143.73288676384547,2024-06-28 19h52.34.479581 +0200,
