cond.thisRepN,cond.thisTrialN,cond.thisN,cond.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digit_rep.thisRepN,digit_rep.thisTrialN,digit_rep.thisN,digit_rep.thisIndex,thisRow.t,notes,sequence_started,sequence_ended,digit_sequence,result_box.text,confirm_input.keys,confirm_input.rt,confirm_input.duration,input_ended,participant,order,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,3.0101735000498593,,20:30:03.212770,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,1,0,1,0,4.02468090003822,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,2,0,2,0,5.139199000026565,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,3,0,3,0,6.245969100040384,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,4,0,4,0,7.332820100011304,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,5,0,5,0,8.429664399998728,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,6,0,6,0,9.528108300000895,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,7,0,7,0,10.643295900023077,,,20:30:12.912306,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,0,0,0,0,,,,,,,,,"[6, 8, 3, 0, 1, 2, 9, 7]",830712,space,3.533612900006119,None,20:30:16.558512,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,0,0,0,0,16.291491600044537,,20:30:16.558512,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,1,0,1,0,17.37715220003156,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,2,0,2,0,18.46609660005197,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,3,0,3,0,19.5704530000221,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,4,0,4,0,20.670609600027092,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,5,0,5,0,21.771705900027882,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,6,0,6,0,22.8734311000444,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,7,0,7,0,23.967722500034142,,,20:30:26.259415,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,1,0,1,0,,,,,,,,,"[4, 5, 1, 0, 7, 6, 2, 8]",451706,space,2.808933300024364,None,20:30:29.177311,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,2,0,2,0,0,0,0,0,28.88229110004613,,20:30:29.177311,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,2,0,2,0,1,0,1,0,29.988592400040943,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,2,0,2,0,2,0,2,0,31.09043100004783,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,2,0,2,0,3,0,3,0,32.18870080000488,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,2,0,2,0,4,0,4,0,33.2854023000109,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
0,0,0,0,2,0,2,0,5,0,5,0,34.3926247000345,,,,,,,,,,p5,5,2024-06-28_20h29.51.749,digit_span,2023.2.3,153.1663308705551,2024-06-28 20h30.01.302126 +0200,
